Authors	Title	Year	Type	Source	Publisher	ArticleURL	Volume	Issue	StartPage	EndPage
C Bässler	Influence of large-and small-scaled structural forest attributes on ground-dwelling arthropod communities in the Bohemian Forest	2024	Thesis	Goethe Universität Frankfurt am Main		https://www.researchgate.net/profile/Stephan-Kleinfelder/publication/385621518_Influence_of_large-_and_small-scaled_structural_forest_attributes_on_ground-dwelling_arthropod_communities_in_the_Bohemian_Forest/links/672cc97577f274616d62605d/Influence-of-large-and-small-scaled-structural-forest-attributes-on-ground-dwelling-arthropod-communities-in-the-Bohemian-Forest.pdf	NA	NA	1	112
HM Szymański, DM Szymański, D Szymański, P Tyl	Nowe dane o rozmieszczeniu dwóch ekspansywnych gatunków kosarzy Leiobunum sp. A oraz Dicranopalpus ramosus (Simon, 1909) (Arachnida: Opiliones) w Polsc	2024	Article	ROCZNIK MUZEUM GÓRNOŚLĄSKIEGO W BYTOMIU, PRZYRODA		https://muzeum.bytom.pl/wp-content/uploads/2024/04/Przyroda_30online004.pdf	30	NA	1	6
J Krawina, B Schock, S Zaenker	Quellen und Fließgewässer im Nationalpark Kellerwald-Edersee	2024	Report	Forschungsberichte des Nationalparks Kellerwald-Edersee 	Nationalparkamt Kellerwald-Edersee	https://nationalpark-kellerwald-edersee.de/sites/nationalpark.hessen.de/files/2025-03/241104_00034_forschungsbericht_band_3.pdf	3			
S Déjean, M Esnault, C Hervé, E Iorio, S Lecigne…	Session d’inventaire aranéologique dans le département de l’Allier (03)	2024	Article	Bulletin de l’Association Française d’Arachnologie		https://asfra.fr/Site/bulletins/Bulletin-AsFrA_N%C2%B012.pdf	12	NA	2	14
B Balkenhol	Spinnen (Araneae) im Dubringer Moor - Funde zum Geo-Tag der Artenvielfalt 2020 und 2023	2024	Article	Berichte der Naturforschenden Gesellschaft der Oberlausitz		https://nfgol.de/sites/default/files/pdf/Bd32-04_Balkenhol_Spinnen_0.pdf	32		51	64
K Birkhofer, F Arvidsson, B Schnerch, EA Djoudi	Spinnen in: PYROPHOB Strategien zur Entwicklung von widerstandsfähigen Wäldern auf Waldbrandflächen	2024	Report	Eberswalder Fortstliche Schriftenreihe	Ministerium für Land- und Ernährungswirtschaft, Umwelt und Verbraucherschutz des Landes Brandenburg	https://forst.brandenburg.de/lfb/de/service/publikationen/detail/~27-02-2025-efs-77-pyrophob-strategien-zur-entwicklung-von-widerstandsfaehigen-waeldern-auf-waldbrand#	77		122	125
Biom Nagola Re GmbH, UP Umweltanalytische Produkte GmbH	Spinnnen	2024	Report	Monitoring im Förderraum Jänschwalde Jahresbericht Moore, 2023	Lausitz Energie Bergbau AG	https://lbgr.brandenburg.de/sixcms/media.php/9/Jahresbericht_Moore_2023.4554130.pdf			90	126
A Wirth, G Schulemann-Maier	Updated distribution of Zoropsis spinimana (Dufour, 1820; Araneae: Zoropsidae) in Germany and novel insights into its ecology based on a citizen science …	2024	Article	Frontiers in Arachnid Science		https://www.frontiersin.org/journals/arachnid-science/articles/10.3389/frchs.2024.1383339/full	3	NA	1	13
R Peßner, D Martin	Zur Reproduktionsbiologie der Gewöhnlichen Dreieckspinne (Hyptiotes paradoxus, Araneae: Uloboridae)	2024	Article	Virgo		https://www.zobodat.at/pdf/Virgo_27_0099-0105.pdf	27	NA	99	105
D Martin, U Steinhäuser	Zur Spinnenfauna ausgewählter Moore in Mecklenburg-Vorpommern (Arachnida: Araneae)	2024	Article	Virgo		https://www.entomologie-mv.de/download/virgo_27/10_MartinSteinhaeuser.pdf	27	NA	78	98
